product_name,original_price,current_price,product_url,extraction-date
 Moto E20 Dual Sim 32 Gb Azul 2 Gb Ram,1099,751.41,https://produto.mercadolivre.com.br/MLB-2114506704-moto-e20-dual-sim-32-gb-azul-2-gb-ram-_JM?hide_psmb=true#reco_item_pos=0&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Controle Joystick Sem Fio Sony Playstation Dualsense Cfi-zct1 White E Black,469,399,https://produto.mercadolivre.com.br/MLB-2004395316-controle-joystick-sem-fio-sony-playstation-dualsense-cfi-zct1-white-e-black-_JM?hide_psmb=true#reco_item_pos=1&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Fifa 22 Standard Edition Electronic Arts Ps4  Físico,199,169,https://produto.mercadolivre.com.br/MLB-2116051214-fifa-22-standard-edition-electronic-arts-ps4-fisico-_JM?hide_psmb=true#reco_item_pos=2&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Samsung Galaxy A02 Dual Sim 32 Gb Preto 2 Gb Ram,952,752,https://produto.mercadolivre.com.br/MLB-1854277550-samsung-galaxy-a02-dual-sim-32-gb-preto-2-gb-ram-_JM?hide_psmb=true#reco_item_pos=3&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Protetor Solar Nivea Sun Toque Seco  Fps30 50 Ml,38,20.79,https://produto.mercadolivre.com.br/MLB-1885767143-protetor-solar-nivea-sun-toque-seco-fps30-50-ml-_JM?hide_psmb=true#reco_item_pos=4&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
The Last Of Us Part Ii Standard Edition Sony Ps4  Físico,134,109,https://produto.mercadolivre.com.br/MLB-2001028703-the-last-of-us-part-ii-standard-edition-sony-ps4-fisico-_JM?hide_psmb=true#reco_item_pos=5&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Atari Flashback X,649,539,https://produto.mercadolivre.com.br/MLB-2042020123-atari-flashback-x-_JM?variation=173751955544&hide_psmb=true#reco_item_pos=6&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Kit Com 3 Camisetas Masculina Básica Com Bolso Local ,139,63.61,https://produto.mercadolivre.com.br/MLB-2020908549-kit-com-3-camisetas-masculina-basica-com-bolso-local-_JM?hide_psmb=true#reco_item_pos=7&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Painel Para Tv Patrimar Topazio Preto,199,167,https://produto.mercadolivre.com.br/MLB-1366271473-painel-para-tv-patrimar-topazio-preto-_JM?variation=46517442745&hide_psmb=true#reco_item_pos=8&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
Aéreo Madesa Emilly 2 Portas Vidro Reflex Com Nicho Aberto,289,259.99,https://produto.mercadolivre.com.br/MLB-1471103194-aereo-madesa-emilly-2-portas-vidro-reflex-com-nicho-aberto-_JM?variation=52525445618&hide_psmb=true#reco_item_pos=9&reco_backend=promotions-sorted-by-score-mlb-B&reco_backend_type=low_level&reco_client=seller-promotions&reco_id=e7cd37ea-8518-4f90-8176-584618c17927&deal_print_id=945045f9-397e-4d48-a4e8-d41c401652d6&model_version=recommendations/prueba-promotions-MLB__3552__KAKUY&promotion_type=DEAL_OF_THE_DAY,2022-01-08 11:34:28
